status,message,whaleName,depID,tagOnHours,pct_resting,pct_traveling,pct_foraging,pct_exploring,prhPath,folder,file,nSamples,nDives,nValidLunges
OK,,mn190225-40,mn190225-40,7.793694444,11.89743846,0.451575882,45.15117278,42.49981288,/Volumes/CATS/CATS/tag_analysis/data_processed/mn190225-40 (Antarctic)/mn190225-40 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn190225-40 (Antarctic),mn190225-40 10Hzprh,291128,38,170
OK,,mn190225-44,mn190225-44,0.678,18.08013766,9.111766634,26.51589643,46.29219928,/Volumes/CATS/CATS/tag_analysis/data_processed/mn190225-44 (Antarctic)/mn190225-44 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn190225-44 (Antarctic),mn190225-44 10Hzprh,36267,5,5
OK,,mn190228-44,mn190228-44,17.60430556,17.46573992,7.378403326,23.04518308,52.11067368,/Volumes/CATS/CATS/tag_analysis/data_processed/mn190228-44 (Antarctic)/mn190228-44 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn190228-44 (Antarctic),mn190228-44 10Hzprh,642636,117,343
OK,,mn190301-44,mn190301-44,22.93438889,11.54174105,1.706074575,40.35352055,46.39866382,/Volumes/CATS/CATS/tag_analysis/data_processed/mn190301-44 (Antarctic)/mn190301-44 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn190301-44 (Antarctic),mn190301-44 10Hzprh,865555,121,454
OK,,mn190304-40,mn190304-40,11.03836111,18.19085462,0.418993359,19.62600124,61.76415078,/Volumes/CATS/CATS/tag_analysis/data_processed/mn190304-40 (Antarctic)/mn190304-40 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn190304-40 (Antarctic),mn190304-40 10Hzprh,406273,32,121
OK,,mn190304-42,mn190304-42,10.97394444,14.30788079,10.97321433,16.94215085,57.77675403,/Volumes/CATS/CATS/tag_analysis/data_processed/mn190304-42 (Antarctic)/mn190304-42 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn190304-42 (Antarctic),mn190304-42 10Hzprh,420183,64,56
OK,,mn190305-44,mn190305-44,32.95316667,10.6471811,2.854809098,20.34638384,66.15162596,/Volumes/CATS/CATS/tag_analysis/data_processed/mn190305-44 (Antarctic)/mn190305-44 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn190305-44 (Antarctic),mn190305-44 10Hzprh,1194947,232,726
OK,,mn190306-42,mn190306-42,18.45102778,12.73175087,7.819197064,14.69656162,64.75249045,/Volumes/CATS/CATS/tag_analysis/data_processed/mn190306-42 (Antarctic)/mn190306-42 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn190306-42 (Antarctic),mn190306-42 10Hzprh,673142,103,272
OK,,mn190306-45,mn190306-45,9.733,18.59995205,3.385675309,13.35405322,64.66031942,/Volumes/CATS/CATS/tag_analysis/data_processed/mn190306-45 (Antarctic)/mn190306-45 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn190306-45 (Antarctic),mn190306-45 10Hzprh,359196,58,185
OK,,mn190309-44b,mn190309-44b,22.607,12.08720996,20.0822754,0,67.83051464,/Volumes/CATS/CATS/tag_analysis/data_processed/mn190309-44b (Antarctic)/mn190309-44b 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn190309-44b (Antarctic),mn190309-44b 10Hzprh,829375,196,0
